Instance, Start, End, De-ice start, De-ice end, Obj. value, Runtime (ms)
FPT01, ..., ..., ..., ..., ..., ...
FPT02, ..., ..., ..., ..., ..., ...
FPT03, ..., ..., ..., ..., ..., ...
FPT04, ..., ..., ..., ..., ..., ...
FPT05, ..., ..., ..., ..., ..., ...
FPT06, ..., ..., ..., ..., ..., ...
FPT07, ..., ..., ..., ..., ..., ...
FPT08, ..., ..., ..., ..., ..., ...
FPT09, ..., ..., ..., ..., ..., ...
FPT10, ..., ..., ..., ..., ..., ...
FPT11, ..., ..., ..., ..., ..., ...
FPT12, ..., ..., ..., ..., ..., ...
